TIME,IN,OUT
2021-01-01 21:00,12,6
2021-01-01 22:00,3,3
2021-01-01 23:00,1,0
2021-01-02 0:00,3,2
2021-01-02 1:00,0,0
2021-01-02 2:00,0,0
2021-01-02 3:00,0,0
2021-01-02 4:00,0,0
2021-01-02 5:00,4,2
2021-01-02 6:00,9,9
2021-01-02 7:00,6,10
2021-01-02 8:00,6,9
2021-01-02 9:00,9,21
2021-01-02 10:00,8,14
2021-01-02 11:00,17,28
2021-01-02 12:00,22,20
2021-01-02 13:00,12,16
2021-01-02 14:00,23,19
2021-01-02 15:00,43,22
2021-01-02 16:00,25,17
2021-01-02 17:00,34,19
2021-01-02 18:00,24,12
2021-01-02 19:00,19,11
2021-01-02 20:00,38,13
2021-01-02 21:00,15,14
2021-01-02 22:00,5,3
2021-01-02 23:00,3,2
2021-01-03 0:00,0,0
2021-01-03 1:00,0,0
2021-01-03 2:00,0,0
2021-01-03 3:00,0,0
2021-01-03 4:00,1,1
2021-01-03 5:00,3,0
2021-01-03 6:00,4,2
2021-01-03 7:00,8,8
2021-01-03 8:00,2,8
2021-01-03 9:00,4,9
2021-01-03 10:00,4,12
2021-01-03 11:00,9,13
2021-01-03 12:00,11,5
2021-01-03 13:00,7,8
2021-01-03 14:00,14,16
2021-01-03 15:00,7,10
2021-01-03 16:00,21,10
2021-01-03 17:00,23,16
2021-01-03 18:00,18,9
2021-01-03 19:00,13,8
2021-01-03 20:00,17,10
2021-01-03 21:00,2,6
2021-01-03 22:00,4,1
2021-01-03 23:00,1,1
2021-01-04 0:00,1,1
2021-01-04 1:00,0,0
2021-01-04 2:00,0,0
2021-01-04 3:00,0,0
2021-01-04 4:00,0,0
2021-01-04 5:00,4,5
2021-01-04 6:00,4,10
2021-01-04 7:00,7,74
2021-01-04 8:00,10,157
2021-01-04 9:00,18,68
2021-01-04 10:00,20,40
2021-01-04 11:00,27,39
2021-01-04 12:00,50,47
2021-01-04 13:00,30,40
2021-01-04 14:00,43,33
2021-01-04 15:00,40,24
2021-01-04 16:00,45,18
2021-01-04 17:00,87,23
2021-01-04 18:00,164,29
2021-01-04 19:00,69,14
2021-01-04 20:00,36,13
2021-01-04 21:00,45,13
2021-01-04 22:00,9,4
2021-01-04 23:00,3,3
2021-01-05 0:00,0,0
2021-01-05 1:00,0,0
2021-01-05 2:00,0,0
2021-01-05 3:00,0,0
2021-01-05 4:00,1,1
2021-01-05 5:00,0,4
2021-01-05 6:00,7,10
2021-01-05 7:00,7,59
2021-01-05 8:00,12,145
2021-01-05 9:00,14,68
2021-01-05 10:00,16,37
2021-01-05 11:00,34,50
2021-01-05 12:00,47,54
2021-01-05 13:00,45,54
2021-01-05 14:00,50,33
2021-01-05 15:00,60,37
2021-01-05 16:00,44,23
2021-01-05 17:00,98,16
2021-01-05 18:00,164,24
2021-01-05 19:00,52,20
2021-01-05 20:00,51,18
2021-01-05 21:00,69,16
2021-01-05 22:00,19,3
2021-01-05 23:00,2,3
2021-01-06 0:00,1,1
2021-01-06 1:00,0,0
2021-01-06 2:00,0,0
2021-01-06 3:00,0,0
2021-01-06 4:00,0,0
2021-01-06 5:00,7,9
2021-01-06 6:00,10,17
2021-01-06 7:00,15,49
2021-01-06 8:00,9,144
2021-01-06 9:00,8,49
2021-01-06 10:00,16,47
2021-01-06 11:00,44,31
2021-01-06 12:00,64,64
2021-01-06 13:00,36,30
2021-01-06 14:00,44,23
2021-01-06 15:00,50,24
2021-01-06 16:00,49,22
2021-01-06 17:00,72,19
2021-01-06 18:00,161,21
2021-01-06 19:00,64,28
2021-01-06 20:00,62,12
2021-01-06 21:00,52,10
2021-01-06 22:00,23,5
2021-01-06 23:00,4,4
2021-01-07 0:00,0,0
2021-01-07 1:00,0,0
2021-01-07 2:00,0,0
2021-01-07 3:00,0,0
2021-01-07 4:00,1,1
2021-01-07 5:00,6,8
2021-01-07 6:00,4,6
2021-01-07 7:00,7,38
2021-01-07 8:00,8,110
2021-01-07 9:00,17,95
2021-01-07 10:00,20,46
2021-01-07 11:00,37,51
2021-01-07 12:00,61,53
2021-01-07 13:00,45,44
2021-01-07 14:00,40,21
2021-01-07 15:00,70,44
2021-01-07 16:00,38,17
2021-01-07 17:00,74,11
2021-01-07 18:00,143,31
2021-01-07 19:00,63,12
2021-01-07 20:00,39,5
2021-01-07 21:00,49,8
2021-01-07 22:00,16,2
2021-01-07 23:00,2,3
2021-01-08 0:00,2,2
2021-01-08 1:00,0,0
2021-01-08 2:00,0,0
2021-01-08 3:00,0,0
2021-01-08 4:00,0,0
2021-01-08 5:00,5,6
2021-01-08 6:00,4,11
2021-01-08 7:00,15,63
2021-01-08 8:00,25,152
2021-01-08 9:00,34,86
2021-01-08 10:00,24,47
2021-01-08 11:00,27,39
2021-01-08 12:00,51,52
2021-01-08 13:00,33,42
2021-01-08 14:00,50,35
2021-01-08 15:00,47,33
2021-01-08 16:00,63,25
2021-01-08 17:00,81,18
2021-01-08 18:00,123,18
2021-01-08 19:00,45,18
2021-01-08 20:00,41,12
2021-01-08 21:00,53,20
2021-01-08 22:00,11,4
2021-01-08 23:00,5,2
2021-01-09 0:00,0,0
2021-01-09 1:00,0,0
2021-01-09 2:00,0,0
2021-01-09 3:00,0,0
2021-01-09 4:00,3,4
2021-01-09 5:00,6,3
2021-01-09 6:00,9,5
2021-01-09 7:00,2,8
2021-01-09 8:00,7,15
2021-01-09 9:00,11,19
2021-01-09 10:00,12,21
2021-01-09 11:00,24,20
2021-01-09 12:00,28,16
2021-01-09 13:00,38,22
2021-01-09 14:00,24,32
2021-01-09 15:00,25,25
2021-01-09 16:00,44,21
2021-01-09 17:00,31,25
2021-01-09 18:00,31,18
2021-01-09 19:00,42,11
2021-01-09 20:00,21,13
2021-01-09 21:00,21,13
2021-01-09 22:00,2,4
2021-01-09 23:00,3,0
2021-01-10 0:00,1,1
2021-01-10 1:00,0,0
2021-01-10 2:00,0,0
2021-01-10 3:00,0,0
2021-01-10 4:00,0,0
2021-01-10 5:00,3,1
2021-01-10 6:00,3,6
2021-01-10 7:00,3,7
2021-01-10 8:00,10,14
2021-01-10 9:00,14,18
2021-01-10 10:00,6,12
2021-01-10 11:00,8,11
2021-01-10 12:00,15,14
2021-01-10 13:00,19,22
