측정시간,날자,시(HOUR),주(WEEK),공휴일,하늘상태,강우상태,테이터수,입구,출구
2021-04-16 20:00,2021-04-16,20,금,N,맑음,없음,60,72,14
2021-04-16 19:00,2021-04-16,19,금,N,맑음,없음,60,59,35
2021-04-16 18:00,2021-04-16,18,금,N,맑음,없음,60,149,33
2021-04-16 17:00,2021-04-16,17,금,N,맑음,없음,59,109,29
2021-04-16 16:00,2021-04-16,16,금,N,맑음,없음,60,87,37
2021-04-16 15:00,2021-04-16,15,금,N,흐림,없음,60,71,37
2021-04-16 14:00,2021-04-16,14,금,N,흐림,없음,60,66,38
2021-04-16 13:00,2021-04-16,13,금,N,흐림,없음,60,44,40
2021-04-16 12:00,2021-04-16,12,금,N,흐림,없음,60,68,68
2021-04-16 11:00,2021-04-16,11,금,N,흐림,비,60,58,42
2021-04-16 10:00,2021-04-16,10,금,N,흐림,없음,60,24,43
2021-04-16 9:00,2021-04-16,9,금,N,흐림,없음,60,36,88
2021-04-16 8:00,2021-04-16,8,금,N,흐림,없음,60,35,159
2021-04-16 7:00,2021-04-16,7,금,N,구름많음,없음,59,4,61
2021-04-16 6:00,2021-04-16,6,금,N,흐림,없음,60,2,10
2021-04-16 5:00,2021-04-16,5,금,N,흐림,없음,60,1,5
2021-04-16 4:00,2021-04-16,4,금,N,흐림,없음,60,1,0
2021-04-16 3:00,2021-04-16,3,금,N,구름많음,없음,60,0,0
2021-04-16 2:00,2021-04-16,2,금,N,구름많음,없음,60,0,0
2021-04-16 1:00,2021-04-16,1,금,N,구름많음,없음,59,0,0
2021-04-16 0:00,2021-04-16,0,금,N,구름많음,없음,58,1,1
2021-04-15 23:00,2021-04-15,23,목,N,구름많음,없음,60,6,4
2021-04-15 22:00,2021-04-15,22,목,N,구름많음,없음,60,49,15
2021-04-15 21:00,2021-04-15,21,목,N,구름많음,없음,60,74,29
2021-04-15 20:00,2021-04-15,20,목,N,구름많음,없음,60,56,23
2021-04-15 19:00,2021-04-15,19,목,N,맑음,없음,60,74,28
2021-04-15 18:00,2021-04-15,18,목,N,맑음,없음,60,190,36
2021-04-15 17:00,2021-04-15,17,목,N,맑음,없음,60,82,26
2021-04-15 16:00,2021-04-15,16,목,N,맑음,없음,60,61,30
2021-04-15 15:00,2021-04-15,15,목,N,맑음,없음,60,61,32
2021-04-15 14:00,2021-04-15,14,목,N,맑음,없음,60,46,24
2021-04-15 13:00,2021-04-15,13,목,N,맑음,없음,60,53,41
2021-04-15 12:00,2021-04-15,12,목,N,맑음,없음,60,49,60
2021-04-15 11:00,2021-04-15,11,목,N,구름많음,없음,60,50,31
2021-04-15 10:00,2021-04-15,10,목,N,흐림,없음,60,54,71
2021-04-15 9:00,2021-04-15,9,목,N,흐림,없음,60,10,85
2021-04-15 8:00,2021-04-15,8,목,N,구름많음,없음,60,16,162
2021-04-15 7:00,2021-04-15,7,목,N,구름많음,없음,60,34,82
2021-04-15 6:00,2021-04-15,6,목,N,구름많음,없음,60,4,13
